Estacion,Proporcion_Promedio
Acatitla,0.004771876364532311
Aculco,0.002749609755585772
Agrícola Oriental,0.0034691615958409214
Allende,0.006681061158970891
Apatlaco,0.003870952831595919
Aquiles Serdán,0.003164721932408859
Aragón,0.00201352316929985
Atlalilco,0.007561881846445295
Auditorio,0.008414970187182522
Autobuses del Norte,0.0061867251031606525
Balbuena,0.0016722061971228348
Balderas,0.009841053325991186
Barranca del Muerto,0.008903575487401578
Bellas Artes,0.012956427753757308
Bondojito,0.001595833631331045
Bosque de Aragón,0.0016280134753681535
Boulevard Puerto Aéreo,0.0036023256743530335
Buenavista,0.01567296590099747
Calle 11,0.0015679917667013286
Camarones,0.003644751681958319
Canal de San Juan,0.003914495457156883
Canal del Norte,0.0021871954103007104
Candelaria,0.007470726085143518
Centro Médico,0.00874484555905112
Cerro de la Estrella,0.0032988798600815457
Chabacano,0.010481351503391181
Chapultepec,0.007144789134521992
Chilpancingo,0.01132725712668617
Ciudad Azteca,0.013263840647417527
Ciudad Deportiva,0.0017248419925747988
Colegio Militar,0.0035625418944071926
Constitución de 1917,0.028679260862463963
Constituyentes,0.0023625359267828625
Consulado,0.002504088736325562
Copilco,0.008417253682397857
Coyoacán,0.006561807288854446
Coyuya,0.0072939909229385305
Cuatro Caminos,0.02099594372801511
Cuauhtémoc,0.0026429121065986764
Cuitláhuac,0.004293202663487684
Culhuacán,0.0019780716207527813
Deportivo 18 de Marzo,0.008404548996304193
Deportivo Oceanía,0.0041280366035054234
División del Norte,0.003735342381979868
Doctores,0.003389308319572449
Ecatepec,0.006682892134240861
Eduardo Molina,0.0018456165819946764
Eje Central,0.0016944261189910108
El Rosario,0.012043464348816913
Ermita,0.005785573415210412
Escuadrón 201,0.00608605597717444
Etiopía/Plaza de la Transparencia,0.0063828439179831895
Eugenia,0.003575323237084678
Ferrería/Arena Ciudad de México,0.005294243946061393
Fray Servando,0.0026881476761057123
Garibaldi/Lagunilla,0.007686565396275372
General Anaya,0.005121440156744237
Guelatao,0.005286491597695755
Guerrero,0.004507529091509027
Gómez Farías,0.0049195537324628665
Hangares,0.001409784586592376
Hidalgo,0.012272985900218955
Hospital 20 de Noviembre,0.001586742162811107
Hospital General,0.00465728450968408
Impulsora,0.006544301764762819
Indios Verdes,0.02803168891201675
Instituto del Petróleo,0.0022450120299068806
Insurgentes,0.00655709411333764
Insurgentes Sur,0.004739364811978895
Isabel la Católica,0.0024611698920342677
Iztacalco,0.0052383806242890804
Iztapalapa,0.0031827384115503824
Jamaica,0.005188493903937153
Juanacatlán,0.0013957338645544533
Juárez,0.004123032586784907
La Paz,0.012375260232110455
La Raza,0.011041150559209829
La Viga,0.0020610931677001207
La Villa/Basílica,0.003483216086345261
Lagunilla,0.0063944637102390685
Lindavista,0.004002066846798183
Lomas Estrella,0.0011017916040754279
Los Reyes,0.006029314632691217
Lázaro Cárdenas,0.0034356552042487383
Martín Carrera,0.012689825189752509
Merced,0.007934068623229814
Mexicaltzingo,0.0023982439902251245
Miguel Ángel de Quevedo,0.008753986489053487
Misterios,0.0021864271343606267
Mixcoac,0.00839094060879915
Mixiuhca,0.00608279286399319
Moctezuma,0.0034394676819829045
Morelos,0.003673487738042402
Múzquiz,0.008324583350033677
Nativitas,0.004748996506776974
Nezahualcóyotl,0.005718412978324317
Niños Héroes,0.004961199397889584
Nopalera,0.002195563913352345
Normal,0.008220442042820606
Norte 45,0.0017792246671410703
Obrera,0.00397877068373482
Observatorio,0.00914043898067678
Oceanía,0.005220573219858664
Olivos,0.0014926656784349979
Olímpica,0.004816540863467669
Panteones,0.003198240533326507
Pantitlán,0.04643367788858088
Parque de los Venados,0.0014847657129467367
Patriotismo,0.004810411791658345
Periférico Oriente,0.005064926581146383
Peñón Viejo,0.004001071534496387
Pino Suárez,0.014776242112785515
Plaza Aragón,0.005344221641124643
Polanco,0.008040047242752273
Politécnico,0.007726719364147936
Popotla,0.0022429287312911474
Portales,0.005186413669586691
Potrero,0.003959059164142161
Puebla,0.008466584574173121
Refinería,0.003396905962166848
Revolución,0.007073696664356361
Ricardo Flores Magón,0.001934944407374506
Romero Rubio,0.004015262056853421
Río de los Remedios,0.005251497500230242
Salto del Agua,0.007399173816067996
San Andrés Tomatlán,0.0012520235414382388
San Antonio,0.0030496559830190694
San Antonio Abad,0.005022867349033825
San Cosme,0.005221590309064861
San Joaquín,0.006006138797560338
San Juan de Letrán,0.00783284991050257
San Lázaro,0.0094000161810977
San Pedro de los Pinos,0.0029888562633312576
Santa Anita,0.0020016042376097744
Santa Marta,0.010175146893974652
Sevilla,0.004009026695553713
Tacuba,0.011444151811461615
Tacubaya,0.02257109226381962
Talisman,0.0010415685844583882
Tasqueña,0.01763891377931286
Tepalcates,0.00739667464457835
Tepito,0.006931998771814172
Terminal Aérea,0.005199761764566984
Tezonco,0.0021310354323290756
Tezozómoc,0.0015462183312195123
Tlaltenco,0.00045323179269583303
Tlatelolco,0.0045938750312162786
Tláhuac,0.0050953625281465595
UAM-Azcapotzalco,0.0020746729900356893
UAM-I,0.007186374300447464
Universidad,0.014410724199200581
Valle Gómez,0.0012306513793986587
Vallejo,0.0022082321950209916
Velódromo,0.004551018330219178
Viaducto,0.004135667574710629
Villa de Aragón,0.0039406968150118024
Villa de Cortés,0.004034143133827513
Viveros/Derechos Humanos,0.0051352624721950155
Xola,0.004936196315382216
Zapata,0.00939346211280607
Zapotitlán,0.0012937061036012042
Zaragoza,0.006034053347678409
Zócalo/Tenochtitlan,0.012190024198096614
